Equipment Name,Type,Flowrate,Pressure,Temperature
Reactor-A1,Reactor,125.5,15.2,350.0
Pump-B2,Pump,85.3,22.5,45.0
Heat Exchanger-C3,Heat Exchanger,200.0,10.8,180.0
Distillation Column-D4,Column,150.7,8.5,220.0
Compressor-E5,Compressor,95.2,35.0,60.0
Reactor-A2,Reactor,130.0,16.0,365.0
Pump-B3,Pump,78.9,20.3,42.0
Heat Exchanger-C4,Heat Exchanger,210.5,11.2,175.0
Separator-F6,Separator,105.3,12.5,95.0
Valve-G7,Valve,45.0,18.0,35.0
Reactor-A3,Reactor,140.2,14.8,340.0
Pump-B4,Pump,92.1,24.0,48.0
Heat Exchanger-C5,Heat Exchanger,195.8,10.5,185.0
Distillation Column-D5,Column,145.0,9.2,215.0
Compressor-E6,Compressor,88.5,32.5,55.0
Mixer-H8,Mixer,110.0,5.5,75.0
Crystallizer-I9,Crystallizer,65.0,8.0,50.0
Dryer-J10,Dryer,55.5,3.2,180.0
Filter-K11,Filter,75.0,6.5,40.0
Storage Tank-L12,Tank,0.0,2.0,25.0
Reactor-A4,Reactor,135.5,15.5,355.0
Pump-B5,Pump,82.0,21.5,44.0
Heat Exchanger-C6,Heat Exchanger,205.0,11.0,178.0
Condenser-M13,Condenser,160.0,7.5,65.0
Boiler-N14,Boiler,180.5,25.0,320.0